Month Name Avg_monthly_WS80m Avg_monthly_WS120m	Avg_monthly_WD80m Avg_monthly_WD120m   Max_monthly_WG10m Min_monthly_WG10m Avg_monthly_WG10m
January	    10.2542002688172	12.5316196236559  124.80376344086	127.106182795699	36.4	      0.7	     11.3395833333333
February    11.4140201662562	13.9624243123974  178.827714490969	177.711142754516	44.6	      0.7	     12.772840979064
March	    12.1449932795699	14.6568884408602  187.823588709677	185.293346774194	46.8	      0.7	     13.9790322580645
April	    13.0297916666667	15.4243402777778  235.429513888889	235.081597222222	53.3	      1.8	     15.6770486111111
May	    13.8485551075269	16.0366599462366  227.957997311828	227.180779569892	60.8	      1.1	     17.9730846774194
June	    15.6462152777778	18.1492013888889  258.313888888889	259.853472222222	56.2	      0.7	     20.1032986111111
July	    13.9166666666667	16.0601254480287  227.127240143369	229.012992831541	43.6	      1.1	     18.2628136200717
August	    16.2986559139785	18.8943548387097  245.561827956989	246.729390681004	77.4	      0.4	     20.1753584229391
September   13.241712962963	15.3581944444444  208.051388888889	206.656944444444	53.3	      1.4	     16.4997685185185
October	    10.9641129032258	12.7664874551971  144.381720430108	138.06541218638	        44.6	      0.7	     12.2378136200717
November    9.28148148148148	11.7038425925926  82.0625	        82.9652777777778	35.3	      1.1	     10.1862037037037
December    9.33033154121864	12.0644713261649  105.266577060932	108.083333333333	41.4	      1.4	     10.5856182795699
